data_registro,atraso_medio
2026-08-01,6.83
2026-08-02,7.17
2026-08-03,8.17
2026-08-04,9.5
2026-08-05,6.17
2026-08-06,8.0
2026-08-07,7.83
2026-08-08,8.17
2026-08-09,5.83
2026-08-10,6.33
2026-08-11,8.0
2026-08-12,7.83
2026-08-13,6.67
2026-08-14,6.67
2026-08-15,8.5
2026-08-16,8.83
2026-08-17,6.67
2026-08-18,8.17
2026-08-19,8.0
2026-08-20,8.0
2026-08-21,6.67
2026-08-22,7.33
2026-08-23,8.33
2026-08-24,8.0
2026-08-25,7.0
2026-08-26,9.2
2026-08-27,7.4
2026-08-28,7.4
2026-08-29,7.4
2026-08-30,7.4
2026-08-31,7.2
